Starting to listen for messages on topic : mysimbdp. 
Successfullt connected to kafka consumer process!
mysimbdp:0:92: key=None value=b'id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365'
mysimbdp:0:125: key=None value=b'53067,Green studio at the attic of a townhouse,246493,DoJo,,De Pijp - Rivierenbuurt,52.35339,4.90064,Private room,87,1,345,2019-06-29,3.25,3,2'
mysimbdp:0:126: key=None value=b'53671,Nice room near centre with en suite bath,247822,Georg,,Westerpark,52.38905,4.88559,Private room,75,3,296,2019-08-02,2.92,1,282'
mysimbdp:0:127: key=None value=b'53692,Large quiet Studio with gardenview in hip area.,246493,DoJo,,De Pijp - Rivierenbuurt,52.35348,4.90049,Private room,60,1,279,2019-08-05,2.80,3,41'
mysimbdp:0:128: key=None value=b'55256,Luminous central room,260785,Lotte,,Centrum-Oost,52.37126,4.90351,Private room,86,1,166,2019-07-17,1.61,1,155'
mysimbdp:0:129: key=None value=b'55621,"Fully equiped house, PIJP area = great",262846,Bharati,,De Pijp - Rivierenbuurt,52.35386,4.89772,Entire home/apt,222,3,31,2019-07-28,0.29,1,3'
mysimbdp:0:130: key=None value=b'55703,groundfloor apartment with patio,263214,Arjan,,Bos en Lommer,52.37561,4.85819,Entire home/apt,250,3,3,2016-10-19,0.06,1,220'
mysimbdp:0:131: key=None value=b'55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,,Centrum-Oost,52.35896,4.89726,Entire home/apt,159,3,54,2019-07-10,0.51,1,39'
mysimbdp:0:132: key=None value=b'55807,"Greatly located, cozy atmosphere",263844,Rai & Clo,,De Baarsjes - Oud-West,52.36966,4.86203,Private room,60,2,156,2019-06-23,1.47,1,122'
mysimbdp:0:133: key=None value=b'55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.35613,4.88515,Entire home/apt,149,4,93,2019-07-30,0.89,1,12'
mysimbdp:0:134: key=None value=b'56879,"86 m2, city centre & lovely view",270282,Linda & Theo,,Centrum-West,52.38453,4.89255,Entire home/apt,112,28,1,2012-07-27,0.01,1,216'
mysimbdp:0:135: key=None value=b'57978,Still cosy X Mas availability!,276959,Elisabeth,,De Baarsjes - Oud-West,52.36448,4.87722,Entire home/apt,125,3,153,2019-07-04,1.44,1,220'
